City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,8.34,72,82,4.02,NZ,1726440073
1,kodiak,57.79,-152.4072,15.73,41,20,6.69,US,1726440178
2,vilyuchinsk,52.9306,158.4028,9.15,56,74,7.84,RU,1726440179
3,keflavik,64.0049,-22.5624,5.24,60,0,4.12,IS,1726440180
4,adamstown,-25.066,-130.1015,20.27,81,100,6.85,PN,1726440181
5,grytviken,-54.2811,-36.5092,-2.42,75,56,4.25,GS,1726440182
6,puerto natales,-51.7236,-72.4875,7.25,76,40,7.72,CL,1726440183
7,bethel,41.3712,-73.414,21.99,72,3,0.45,US,1726440184
8,saint-paul,-21.0096,55.2707,21.41,83,76,2.52,RE,1726440185
9,new norfolk,-42.7826,147.0587,9.4,74,80,2.71,AU,1726440074
10,vorgashor,67.5833,63.95,12.43,98,80,3.78,RU,1726440188
11,college,64.8569,-147.8028,11.97,79,75,3.6,US,1726440189
12,waitangi,-43.9535,-176.5597,9.9,96,97,2.24,NZ,1726440190
13,emerald,-23.5333,148.1667,17.41,33,0,8.52,AU,1726440191
14,saldanha,-33.0117,17.9442,13.03,84,97,8.0,ZA,1726440192
15,ilulissat,69.2167,-51.1,-1.49,77,99,2.06,GL,1726440193
16,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,62,20,2.0,RU,1726440194
17,klyuchi,52.2667,79.1667,3.69,70,27,6.21,RU,1726440195
18,atafu village,-8.5421,-172.5159,27.64,78,36,4.04,TK,1726440196
19,lebedyan',53.0194,39.1664,15.08,39,8,3.69,RU,1726440198
20,ribeira grande,38.5167,-28.7,23.22,68,40,4.47,PT,1726440199
21,port-aux-francais,-49.35,70.2167,2.49,75,87,14.31,TF,1726440200
22,polyarnyy,69.1989,33.4478,9.39,97,100,1.85,RU,1726440201
23,kulhudhuffushi,6.6221,73.07,27.61,79,72,4.59,MV,1726440202
24,west end,26.6833,-78.9667,29.46,67,100,0.89,BS,1726440203
25,nemuro,43.3236,145.575,15.74,76,0,5.06,JP,1726440204
26,leninskoye,41.7589,69.3864,18.79,23,96,1.82,KZ,1726440205
27,west island,-12.1568,96.8225,25.99,78,76,6.69,CC,1726440206
28,kaspiyskiy,45.3929,47.3707,20.08,61,0,6.93,RU,1726440207
29,yellowknife,62.456,-114.3525,14.29,83,20,6.71,CA,1726440208
30,alesund,62.4723,6.1549,13.75,88,20,0.0,NO,1726440210
31,deqen,29.9618,90.7188,6.21,87,69,1.61,CN,1726440211
32,port alfred,-33.5906,26.891,12.88,95,5,0.45,ZA,1726440212
33,lihue,21.9789,-159.3672,28.77,68,20,6.69,US,1726440213
34,stanley,54.868,-1.6985,10.01,88,0,1.54,GB,1726440214
35,blackmans bay,-43.0167,147.3167,8.74,80,60,1.79,AU,1726440215
36,kodinsk,58.6881,99.1844,0.69,94,100,3.37,RU,1726440216
37,prado,-17.3411,-39.2208,24.29,79,0,6.09,BR,1726440217
38,bilibino,68.0546,166.4372,2.28,99,100,2.93,RU,1726440218
39,baturaja,-4.1333,104.1667,22.44,90,38,0.62,ID,1726440219
40,namibe,-15.1961,12.1522,17.26,86,40,2.29,AO,1726440220
41,tsetserleg,47.475,101.4542,1.02,61,0,1.33,MN,1726440222
42,thompson,55.7435,-97.8558,22.09,40,0,6.17,CA,1726440223
43,jalpa,21.6333,-102.9667,28.88,50,89,2.78,MX,1726440224
44,ugoofaaru,5.6667,73.0,28.02,76,81,4.51,MV,1726440225
45,undurkhaan,47.3194,110.6556,7.09,77,0,1.64,MN,1726440226
46,utrik,11.2278,169.8474,28.52,75,79,4.9,MH,1726440227
47,ceeldheer,3.8488,47.1806,24.06,86,67,7.02,SO,1726440228
48,pruzhany,52.5567,24.4644,18.0,36,100,5.53,BY,1726440229
49,charters towers,-20.1,146.2667,22.43,46,40,7.3,AU,1726440230
50,strezhevoy,60.7333,77.5889,1.8,81,15,2.31,RU,1726440231
51,saipan,15.1355,145.701,28.39,89,100,12.35,MP,1726440232
52,port elizabeth,-33.918,25.5701,15.73,85,0,4.63,ZA,1726440235
53,dudinka,69.4058,86.1778,5.25,59,99,6.52,RU,1726440236
54,tolanaro,-25.0319,46.9987,22.04,83,0,8.23,MG,1726440237
